,City,Cloudiness,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
279,babanusah,94,1581539595.0,9.0,13.91,-4.55,78.94,10.56
280,babanusah,20,1581539598.0,66.0,-15.86,-38.88,86.0,3.36
281,babanusah,99,1581539599.0,50.0,16.97,102.28,76.42,1.74
282,babanusah,0,1581539599.0,77.0,2.04,45.34,80.85,27.47
283,babanusah,43,1581539599.0,53.0,41.12,80.26,31.51,1.88
284,babanusah,96,1581539599.0,97.0,67.8,130.41,-22.94,2.28
285,babanusah,75,1581539599.0,67.0,66.04,-17.34,23.0,11.41
286,babanusah,0,1581539364.0,75.0,-30.18,-50.21,74.12,24.14
287,babanusah,0,,,,,,
288,babanusah,97,1581539600.0,89.0,65.58,-171.0,-5.49,3.33
289,babanusah,0,,,,,,
290,babanusah,67,1581539604.0,30.0,-40.81,-63.0,91.58,24.2
291,babanusah,34,1581539604.0,82.0,-35.1,173.78,68.0,1.99
292,babanusah,81,1581539604.0,42.0,43.53,6.47,52.0,3.36
293,babanusah,1,1581539588.0,64.0,46.83,-100.89,-0.4,16.11
294,babanusah,0,1581539604.0,13.0,11.78,17.17,68.41,13.04
295,babanusah,75,1581539605.0,93.0,35.73,140.83,53.6,4.7
296,babanusah,100,1581539605.0,76.0,34.17,77.58,11.64,4.85
297,babanusah,90,1581539367.0,80.0,54.32,-130.32,39.2,18.34
298,babanusah,40,1581539609.0,66.0,-10.21,-48.36,86.0,4.7
299,babanusah,0,1581539609.0,20.0,25.02,37.27,63.37,4.29
300,babanusah,69,1581539609.0,69.0,30.8,108.39,51.42,2.37
301,babanusah,1,1581539609.0,81.0,40.6,-124.16,55.99,7.7
302,babanusah,97,1581539610.0,91.0,43.77,142.37,32.83,5.77
303,babanusah,40,1581539610.0,75.0,70.47,-68.59,-13.0,14.99
304,babanusah,96,1581539610.0,66.0,4.93,-52.33,84.2,10.29
305,babanusah,100,1581539613.0,97.0,66.32,-179.17,-0.65,2.91
306,babanusah,33,1581539614.0,23.0,25.75,71.38,69.44,9.33
307,babanusah,1,1581539614.0,42.0,40.81,-74.19,46.4,7.65
308,babanusah,90,1581539471.0,100.0,-31.43,152.92,72.0,2.24
309,babanusah,98,1581539614.0,85.0,61.31,10.3,11.25,5.26
310,babanusah,11,1581539614.0,89.0,30.3,109.48,43.45,1.81
311,babanusah,91,1581539406.0,45.0,35.47,44.39,35.04,9.73
312,babanusah,0,1581539615.0,61.0,53.05,158.65,12.2,6.71
313,babanusah,0,,,,,,
314,babanusah,75,1581539618.0,82.0,32.69,128.84,55.4,9.17
315,babanusah,100,1581539619.0,78.0,35.3,37.18,39.96,11.68
316,babanusah,0,,,,,,
317,babanusah,20,1581539619.0,86.0,58.21,-6.39,34.0,8.05
318,babanusah,100,1581539400.0,87.0,-43.53,172.63,63.0,9.17
319,babanusah,0,1581539405.0,77.0,-33.92,25.57,69.8,16.11
320,babanusah,100,1581539427.0,55.0,-45.87,170.5,72.0,8.95
321,babanusah,100,1581539620.0,86.0,-8.1,156.84,79.07,6.64
322,babanusah,20,1581539620.0,88.0,7.92,98.33,77.0,11.72
323,babanusah,100,1581539620.0,94.0,65.85,74.49,15.49,13.6
324,babanusah,0,,,,,,
325,babanusah,30,1581539624.0,85.0,67.68,53.15,29.1,19.64
326,babanusah,46,1581539624.0,80.0,-17.71,-39.25,81.07,11.5
327,babanusah,90,1581539624.0,100.0,-31.9,152.47,72.0,4.7
328,babanusah,0,,,,,,
329,babanusah,100,1581539625.0,32.0,-34.18,-70.67,71.22,9.64
330,babanusah,0,1581539625.0,84.0,41.57,120.46,33.89,5.55
331,babanusah,100,1581539625.0,93.0,-6.12,141.29,71.73,1.68
332,babanusah,100,1581539628.0,100.0,64.57,143.2,-31.86,1.1
333,babanusah,9,1581539628.0,81.0,4.87,-2.24,79.75,4.88
334,babanusah,20,1581539629.0,73.0,68.22,-135.01,-20.2,2.24
335,babanusah,20,1581539629.0,88.0,-34.6,138.73,66.0,2.68
336,babanusah,21,1581539629.0,78.0,-16.48,-151.75,82.06,14.38
337,babanusah,100,1581539629.0,75.0,51.38,1.39,45.0,10.29
338,babanusah,90,1581539630.0,88.0,7.04,134.26,77.0,11.41
339,babanusah,0,1581539630.0,82.0,-22.96,14.51,66.99,4.7
340,babanusah,40,1581539630.0,70.0,-17.53,-149.33,86.0,8.05
341,babanusah,23,1581539630.0,97.0,10.33,98.83,70.77,2.3
342,babanusah,20,1581539525.0,65.0,78.22,15.64,5.0,19.46
343,babanusah,91,1581539634.0,68.0,27.91,-15.54,66.2,9.17
344,babanusah,62,1581539634.0,80.0,-26.62,-54.13,80.01,1.66
345,babanusah,2,1581539634.0,79.0,54.16,74.81,-1.08,10.42
346,babanusah,100,1581539634.0,90.0,-1.57,9.26,76.78,2.37
347,babanusah,100,1581539634.0,94.0,49.21,-84.77,-8.55,9.89
348,babanusah,20,1581539635.0,74.0,67.2,14.43,35.6,6.93
349,babanusah,100,1581539635.0,83.0,66.0,111.5,-7.6,4.47
350,babanusah,1,1581539496.0,35.0,34.64,-120.46,71.01,3.36
351,babanusah,20,1581539452.0,94.0,12.25,109.18,75.2,2.24
352,babanusah,75,1581539615.0,50.0,41.12,-100.77,33.8,25.28
353,babanusah,100,1581539639.0,78.0,-4.2,152.17,83.25,17.78
354,babanusah,0,1581539639.0,75.0,28.13,82.3,50.77,3.33
355,babanusah,90,1581539639.0,88.0,-37.83,140.77,64.4,11.41
356,babanusah,1,1581539418.0,41.0,41.28,-70.1,43.0,11.41
357,babanusah,90,1581539640.0,81.0,40.43,71.72,42.8,11.41
358,babanusah,0,1581539640.0,28.0,5.03,25.14,70.45,2.66
359,babanusah,5,1581539643.0,58.0,16.86,-99.89,87.8,6.93
360,babanusah,0,,,,,,
361,babanusah,0,,,,,,
362,babanusah,40,1581539644.0,78.0,55.22,-119.44,8.6,4.7
363,babanusah,0,,,,,,
364,babanusah,54,1581539644.0,43.0,-28.19,23.54,68.11,6.08
365,babanusah,0,1581539448.0,33.0,24.69,46.72,42.8,3.36
366,babanusah,0,1581539527.0,96.0,68.05,166.44,-17.32,3.31
367,babanusah,95,1581539645.0,94.0,-0.95,100.35,69.64,2.42
368,babanusah,100,1581539648.0,11.0,9.6,-5.2,80.11,5.48
369,babanusah,84,1581539649.0,99.0,60.34,102.28,-13.34,4.63
370,babanusah,100,1581539649.0,93.0,-7.61,15.06,68.95,1.16
371,babanusah,22,1581539649.0,56.0,-35.33,-72.42,63.45,19.17
372,babanusah,100,1581539393.0,77.0,47.17,-55.15,30.4,28.16
373,babanusah,0,1581539526.0,92.0,32.9,115.82,47.95,5.64
374,babanusah,40,1581539650.0,33.0,-39.03,-67.58,86.0,11.41
375,babanusah,0,,,,,,
376,babanusah,5,1581539650.0,23.0,19.22,-98.81,82.4,10.29
377,babanusah,0,1581539653.0,27.0,20.93,-17.03,78.8,12.75
378,babanusah,0,,,,,,
379,babanusah,0,,,,,,
380,babanusah,0,1581539654.0,93.0,61.28,108.01,-14.04,8.97
381,babanusah,90,1581539654.0,87.0,36.15,-86.78,48.99,8.05
382,babanusah,76,1581539654.0,47.0,-7.02,-37.28,86.54,7.78
383,babanusah,100,1581539655.0,97.0,46.49,135.88,26.38,1.97
384,babanusah,20,1581539655.0,87.0,51.03,-4.22,44.01,11.41
385,babanusah,0,,,,,,
386,babanusah,73,1581539658.0,35.0,6.86,7.39,84.2,3.36
387,babanusah,40,1581539659.0,78.0,-23.86,35.38,80.6,4.7
388,babanusah,75,1581539557.0,48.0,-41.87,-73.82,64.4,12.75
389,babanusah,100,1581539659.0,97.0,26.4,112.86,59.61,3.18
390,babanusah,100,1581539659.0,99.0,-0.88,131.25,73.31,1.1
391,babanusah,1,1581539659.0,64.0,41.46,-81.51,37.4,4.7
392,babanusah,33,1581539660.0,76.0,54.28,-0.4,39.0,6.93
393,babanusah,79,1581539660.0,62.0,-11.1,-77.61,77.31,10.71
394,babanusah,0,,,,,,
395,babanusah,0,1581539658.0,53.0,25.52,90.22,56.5,1.39
